City,Date,Temperature (°C),Weather Description,Humidity (%),Wind Speed (m/s)
Islamabad,25-12-2021,25.9,Few clouds,90,2.9
Quetta,05-12-2022,33.6,Rain,34,11.6
Peshawar,23-12-2020,10.5,Few clouds,,12.2
Islamabad,26-02-2024,30.6,Thunderstorm,32,3.6
Karachi,29-07-2024,28.8,Overcast,63,4.2
Karachi,30-10-2024,24.6,Scattered clouds,98,2.9
Lahore,02-05-2021,19.2,Thunderstorm,69,1.9
Islamabad,22-08-2024,35.8,Clear sky,100,14.8
Lahore,20-05-2024,27.7,Overcast,41,3.3
Quetta,26-05-2024,36.8,Clear sky,87,1.7
Quetta,19-07-2021,25,Scattered clouds,74,11.1
Peshawar,11-07-2023,10.8,Thunderstorm,67,3.2
Lahore,18-04-2024,37.4,Scattered clouds,58,0.8
Lahore,23-06-2020,34.7,Scattered clouds,94,2.9
Peshawar,20-02-2023,38.2,Scattered clouds,94,0.2
Quetta,29-07-2023,21,Scattered clouds,53,0
Peshawar,21-04-2024,18.4,Scattered clouds,67,14.2
Islamabad,27-02-2020,21.3,Few clouds,26,7.7
Karachi,19-06-2021,23.3,Overcast,94,13.8
Lahore,13-08-2024,39.6,Rain,88,1
Karachi,29-04-2022,29.2,Few clouds,96,1.1
Quetta,07-01-2021,12.4,Clear sky,86,1.9
Peshawar,15-07-2023,25.4,Thunderstorm,55,4.9
Quetta,13-07-2021,15.8,Clear sky,86,11.3
Quetta,14-05-2024,29.3,Rain,22,9.4
Quetta,17-05-2022,22.6,Clear sky,50,11.4
Lahore,16-05-2023,36.9,Rain,33,7.5
Islamabad,18-12-2022,26.1,Thunderstorm,56,3.8
Lahore,20-08-2024,37.8,Scattered clouds,70,13.4
Karachi,20-11-2024,39.3,Overcast,30,13.5
Karachi,15-08-2021,26.4,Clear sky,60,4.7
Karachi,12-07-2024,25.1,Scattered clouds,,1.1
Karachi,04-04-2024,24.8,Clear sky,94,4.4
Karachi,06-05-2021,13.4,Clear sky,39,2.7
Lahore,16-06-2020,31.4,Few clouds,79,10.8
Peshawar,08-12-2021,30.7,Rain,68,6.3
Islamabad,09-07-2021,24.3,Scattered clouds,34,0.2
Karachi,26-01-2021,31.3,Rain,99,13.3
Karachi,03-05-2023,12.3,Thunderstorm,43,2.7
Karachi,06-11-2022,18.5,Few clouds,96,10.7
Islamabad,04-06-2024,27.9,Scattered clouds,31,11.1
Islamabad,12-04-2020,20.9,Rain,87,6.6
Peshawar,31-08-2021,27.6,Overcast,81,7.1
Lahore,10-08-2021,26.8,Rain,61,1.1
Karachi,17-03-2020,37.7,Scattered clouds,93,14.8
Lahore,16-08-2020,10.4,Clear sky,55,12.4
Quetta,17-03-2022,28,Thunderstorm,90,0.4
Islamabad,25-04-2024,30.1,Rain,65,11.6
Islamabad,05-07-2022,29.5,Overcast,87,5.9
Peshawar,31-07-2020,15.6,Scattered clouds,79,1.7
Islamabad,23-01-2024,11.2,Clear sky,26,2.4
Karachi,20-09-2021,34.7,Overcast,84,8.6
Islamabad,04-11-2023,11.8,Thunderstorm,80,8.9
Peshawar,29-01-2020,32.5,Few clouds,68,8.8
Karachi,11-10-2021,25.7,Thunderstorm,88,8.1
Quetta,03-06-2022,32.2,Rain,67,6.4
Islamabad,08-10-2022,38.3,Overcast,61,13.9
Karachi,24-06-2020,29.6,Rain,51,3.6
Peshawar,27-08-2023,24.3,Scattered clouds,42,8
Karachi,25-12-2021,27.7,Clear sky,50,14.7
Peshawar,14-09-2024,23.8,Few clouds,64,0.9
Islamabad,16-11-2022,38.1,Few clouds,71,9.8
Quetta,09-08-2021,12.7,Few clouds,27,3.9
Peshawar,14-02-2023,17.1,Overcast,39,6.6
Lahore,07-02-2023,24.8,Clear sky,29,0.7
Karachi,09-10-2020,19,Overcast,84,0.4
Islamabad,02-07-2020,17.1,Few clouds,90,2.5
Lahore,17-04-2024,27.5,Few clouds,80,5.3
Islamabad,27-04-2020,28.7,Clear sky,90,11.4
Quetta,10-08-2020,20.4,Clear sky,99,11.1
Peshawar,29-05-2020,34.6,Rain,73,13.9
Islamabad,13-04-2024,38.4,Rain,77,5.8
Lahore,26-05-2024,24.6,Overcast,40,8.6
Peshawar,27-07-2024,23.5,Thunderstorm,21,4.6
Quetta,26-04-2020,31.7,Rain,41,9.8
Quetta,26-11-2022,35.4,Scattered clouds,29,7.9
Islamabad,24-03-2023,18.9,Thunderstorm,94,11.4
Lahore,24-10-2020,30.7,Few clouds,28,3.8
Lahore,02-08-2021,29.6,Overcast,56,4.3
Islamabad,09-06-2022,35.2,Few clouds,21,3
Karachi,04-04-2024,36.3,Thunderstorm,50,11.5
Islamabad,10-07-2022,39.3,Few clouds,27,14
Karachi,03-10-2023,17.1,Scattered clouds,100,4.4
Lahore,08-12-2023,10.9,Thunderstorm,35,8.4
Quetta,04-04-2024,32.1,Clear sky,96,14.8
Quetta,11-11-2024,38.3,Overcast,87,10.9
Quetta,22-06-2020,21.6,Overcast,31,11.1
Quetta,19-01-2020,15.4,Scattered clouds,20,14.4
Karachi,02-01-2022,14.3,Overcast,80,6.4
Quetta,29-04-2024,38.4,Few clouds,38,1.7
Quetta,07-09-2024,36.2,Scattered clouds,61,12.8
Peshawar,10-07-2021,14.4,Thunderstorm,36,11.7
Quetta,07-12-2023,34.6,Scattered clouds,42,11.6
Islamabad,14-01-2024,30.6,Rain,22,4.7
Peshawar,22-08-2020,19.8,Scattered clouds,94,3.3
Lahore,06-04-2024,21.5,Few clouds,35,6.5
Peshawar,04-08-2024,24.5,Clear sky,97,13.2
Karachi,13-01-2022,14.6,Clear sky,24,3
Lahore,14-01-2021,10.9,Clear sky,29,11.2
Quetta,10-06-2023,32.6,Few clouds,92,14.5
Peshawar,08-02-2020,32.4,Clear sky,57,0.4
Quetta,06-06-2020,13.9,Overcast,98,13.1
Quetta,19-04-2024,19.7,Few clouds,56,0.4
Quetta,24-03-2022,28.7,Few clouds,99,1.7
Lahore,19-01-2024,11.7,Overcast,47,6.7
Quetta,21-10-2023,38.4,Rain,28,5.1
Peshawar,25-07-2023,28.4,Few clouds,56,11.9
Karachi,18-08-2021,23.2,Few clouds,61,8.5
Karachi,11-04-2024,37.4,Thunderstorm,73,6.8
Islamabad,05-03-2024,14.7,Rain,25,2
Peshawar,07-03-2022,13.1,Clear sky,68,3.6
Lahore,01-04-2022,31.7,Scattered clouds,89,0.7
Lahore,10-03-2020,31.5,Thunderstorm,84,1.9
Quetta,27-03-2022,23.5,Clear sky,51,3.7
Peshawar,03-09-2021,28.1,Scattered clouds,89,2.2
Karachi,21-01-2020,34.1,Few clouds,82,10.1
Karachi,21-07-2021,12.1,Thunderstorm,61,13.6
Islamabad,14-08-2023,12.9,Few clouds,27,4.9
Peshawar,31-08-2022,34.1,Few clouds,76,5.9
